序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
60,给排水,减压阀组,DN65,200X-16Q,1.6MPa,0,0,0,0,0,套,32,1196.02,38272.64,0.13,4975.4432,43248.0832,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、 闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1 个 、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
61,给排水,减压阀组,DN65,200X-16Q,1.6MPa,0,0,0,0,0,套,29,1196.02,34684.58,0.13,4508.995400000001,39193.5754,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、 闸阀1 个 、膜片减压阀
(可调式减压阀，自
带过滤器)1个、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
62,给排水,减压阀组,DN80,200X-16Q,1.6MPa,0,0,0,0,0,套,8,1356.33,10850.64,0.13,1410.5832,12261.2232,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1 个 、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
63,给排水,Y型过滤器,DN50,GL11H-16T,1.6MPa,0,0,0,0,0,个,2,70.4,140.8,0.13,18.304000000000002,159.104,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
64,给排水,倒流防止器,DN50,DF14X-16T,1.6MPa,0,0,0,0,0,套,2,234.11,468.22,0.13,60.86860000000001,529.0886,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
65,给排水,闸阀,DN100,Z45T-25Q,2.0MPa,0,0,0,0,0,个,6,278.22,1669.3200000000002,0.13,217.01160000000002,1886.3316000000002,渤海,"球磨铸铁阀体，
铸铁阀芯，阀芯
涂层为环氧树
脂，铜密封面，
硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
66,给排水,闸阀,DN65,Z45X-16Q,1.6MPa,0,0,0,0,0,个,3,190.86,572.58,0.13,74.4354,647.0154,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
67,给排水,闸阀,DN65,Z45X-16Q,1.6MPa,0,0,0,0,0,个,11,190.86,2099.46,0.13,272.9298,2372.3898,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
68,给排水,闸阀,DN50,Z15W-16T,1.6MPa,0,0,0,0,0,个,6,67.86,407.15999999999997,0.13,52.9308,460.09079999999994,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
69,给排水,减压阀组,DN80,200X-16Q,1.6MPa,0,0,0,0,0,套,8,1356.33,10850.64,0.13,1410.5832,12261.2232,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1 个 、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
70,给排水,减压阀组,DN65,200X-16Q,1.6MPa,0,0,0,0,0,套,24,1196.02,28704.48,0.13,3731.5824000000002,32436.0624,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、 闸阀1个、膜片减压阀  (可调式减压阀，自
带过滤器)1 个 、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
71,给排水,减压阀组,DN65,200X-16Q,1.6MPa,0,0,0,0,0,套,28,1196.02,33488.56,0.13,4353.5127999999995,37842.072799999994,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1 个 、橡胶
软接头1个 。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
72,给排水,减压阀组,DN50,Y13X-16T,1.6MPa,0,0,0,0,0,套,1,255.32,255.32,0.13,33.1916,288.5116,渤海,"球磨铸铁阀体， 铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1 个 、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
73,给排水,自动排气阀,DN15,P11X-16Q,1.0MPa,0,0,0,0,0,套,4,26.3,105.2,0.13,13.676,118.876,渤海,"全铜含前端截止阀 。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
74,给排水,Y型过滤器,DN50,GL₁ 1H-16T,1.6MPa,0,0,0,0,0,个,4,70.4,281.6,0.13,36.608000000000004,318.208,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
75,给排水,倒流防止器,DN50,DF14X-16T,1.6MPa,0,0,0,0,0,套,4,234.11,936.44,0.13,121.73720000000002,1058.1772,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
76,给排水,闸阀,DN100,Z45X-16Q,1.6MPa,0,0,0,0,0,个,3,278.22,834.6600000000001,0.13,108.50580000000001,943.1658000000001,渤海,"球磨铸铁阀体， 球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
77,给排水,闸阀,DN65,Z45X-16Q,1.6MPa,0,0,0,0,0,个,2,190.86,381.72,0.13,49.6236,431.34360000000004,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
78,给排水,闸阀,DN50,Z15W-16T,1.6MPa,0,0,0,0,0,个,1,67.86,67.86,0.13,8.8218,76.6818,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
79,给排水,闸阀,DN100,Z45T-25Q,2.5MPa,0,0,0,0,0,个,4,278.22,1112.88,0.13,144.67440000000002,1257.5544000000002,渤海,"球磨铸铁阀体，
铸铁阀芯，阀芯
涂层为环氧树
脂 ，铜密封面， 硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
80,给排水,闸阀,DN65,Z45X-16Q,1.6MPa,0,0,0,0,0,个,6,190.86,1145.16,0.13,148.8708,1294.0308,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
81,给排水,闸阀,DN80,Z45X-16Q,1.6MPa,0,0,0,0,0,个,1,224.78,224.78,0.13,29.221400000000003,254.0014,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
82,给排水,闸阀,DN80,Z45X-16Q,1.6MPa,0,0,0,0,0,个,1,224.78,224.78,0.13,29.221400000000003,254.0014,渤海,"球磨铸铁阀体， 球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
83,给排水,闸阀,DN50,Z15W-16T,1.6MPa,0,0,0,0,0,个,1,67.86,67.86,0.13,8.8218,76.6818,渤海,"球磨铸铁阀体， 球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
84,给排水,遥控水力控制阀,DN65,100X-16Q,1.6MPa,0,0,0,0,0,套,2,514.38,1028.76,0.13,133.7388,1162.4988,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
85,给排水,"过滤活塞遥控浮
球阀",DN100,100X-16Q,1.6MPa,0,0,0,0,0,套,1,707.02,707.02,0.13,91.9126,798.9326,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
86,给排水,自动排气阀,DN15,P11X-16Q,1.0MPa,0,0,0,0,0,套,5,26.3,131.5,0.13,17.095,148.595,渤海,"全铜含前端截止阀。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
87,给排水,减压阀组,DN80,200X-16Q,1.6MPa,0,0,0,0,0,套,6,1356.33,8137.98,0.13,1057.9374,9195.9174,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1个、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
88,给排水,减压阀组,DN65,200X-16Q,1.6MPa,0,0,0,0,0,套,18,1196.02,21528.36,0.13,2798.6868,24327.0468,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀
(可调式减压阀，自
带过滤器)1个、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
89,给排水,减压阀组,DN65,200X-16Q,1.6MPa,0,0,0,0,0,套,23,1196.02,27508.46,0.13,3576.0998,31084.5598,渤海,"球磨铸铁阀体，
铸铁阀芯，橡胶
密封含前后端压力表2个、
闸阀1个、膜片减压阀 (可调式减压阀，自
带过滤器)1个、橡胶
软接头1个。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
90,给排水,截止阀,DN50,J11W-16T,1.6MPa,0,0,0,0,0,个,2,76.34,152.68,0.13,19.8484,172.5284,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
91,给排水,Y型过滤器,DN80,GL41H-16Q,1.6MPa,0,0,0,0,0,个,2,161.16,322.32,0.13,41.9016,364.22159999999997,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
92,给排水,Y型过滤器,DN50,GL11H-16T,1.6MPa,0,0,0,0,0,个,3,70.4,211.20000000000002,0.13,27.456000000000003,238.656,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
93,给排水,Y型过滤器,DN65,GL41H-16Q,1.6MPa,0,0,0,0,0,个,1,130.63,130.63,0.13,16.9819,147.6119,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
94,给排水,倒流防止器,DN80,DF41X-16Q,1.6MPa,0,0,0,0,0,套,2,299.43,598.86,0.13,77.85180000000001,676.7118,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
95,给排水,倒流防止器,DN65,DF41X-16Q,1.6MPa,0,0,0,0,0,套,1,272.29,272.29,0.13,35.3977,307.6877,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
96,给排水,倒流防止器,DN50,DF14X-16T,1.6MPa,0,0,0,0,0,套,3,234.11,702.33,0.13,91.30290000000001,793.6329000000001,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
97,给排水,截止阀,DN20,J11W-16T,1.0MPa,0,0,0,0,0,个,839,16.97,14237.83,0.13,1850.9179000000001,16088.7479,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
98,给排水,止回阀,DN20,H14W-16T,1.0MPa,0,0,0,0,0,个,1639,14.61,23945.79,0.13,3112.9527000000003,27058.742700000003,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
99,给排水,截止阀,DN50,J11W-16T,1.0MPa,0,0,0,0,0,个,26,76.34,1984.8400000000001,0.13,258.0292,2242.8692,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
100,给排水,闸阀,DN50,Z15W-16T,1.0MPa,0,0,0,0,0,个,5,67.86,339.3,0.13,44.109,383.409,渤海,"球磨铸铁阀体， 铸铁阀芯，阀芯
涂层为环氧树
脂 ，铜密封面， 硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
101,给排水,截止阀,DN25,J11W-16T,1.0MPa,0,0,0,0,0,个,11,24.6,270.6,0.13,35.178000000000004,305.778,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
102,给排水,截止阀,DN40,J11W-16T,1.0MPa,0,0,0,0,0,个,1,48.35,48.35,0.13,6.285500000000001,54.6355,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
103,给排水,倒流防止器,DN40,DF14X-16T,1.0MPa,0,0,0,0,0,套,5,170.37,851.85,0.13,110.74050000000001,962.5905,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
104,给排水,"污水专用球形止
回阀",DN50,H14W-16T,1.0MPa,0,0,0,0,0,个,13,65.31,849.03,0.13,110.3739,959.4039,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
105,给排水,闸阀,DN50,Z15W-16T,1.0MPa,0,0,0,0,0,个,14,67.86,950.04,0.13,123.5052,1073.5452,渤海,"球磨铸铁阀体 ， 铸铁阀芯，阀芯  涂层为环氧树
脂 ，铜密封面，
硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
106,给排水,可曲挠软接头,DN50,KDTF-16C,1.0MPa,0,0,0,0,0,个,13,60.22,782.86,0.13,101.7718,884.6318,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
1,给排水,弹性座封闸阀,DN65,0,1.6MPa,0,0,0,0,0,个,51,230.09,11734.59,0.13,1525.4967000000001,13260.0867,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
2,给排水,弹性座封闸阀,DN80,0,1.6MPa,0,0,0,0,0,个,31,280.53,8696.429999999998,0.13,1130.5358999999999,9826.9659,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
3,给排水,惮性座封闸阀,DN100,0,1.6HPa,0,0,0,0,0,个,27,361.06,9748.62,0.13,1267.3206000000002,11015.940600000002,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
4,给排水,弹性座封闸阀,DN150,0,1.6MPa,0,0,0,0,0,个,47,612.39,28782.329999999998,0.13,3741.7028999999998,32524.0329,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
5,给排水,弹性座封闸网,DN80,0,1.0MPa,0,0,0,0,0,个,38,280.53,10660.14,0.13,1385.8182,12045.9582,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
6,给排水,弹性座封闸网,DN100,0,1.0MPa,0,0,0,0,0,个,93,361.06,33578.58,0.13,4365.2154,37943.7954,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
